,n,range,value
123,10,"(0.665, 0.998]",0.0002590350767320925
124,10,"(0.665, 0.998]",0.05452325189138094
125,10,"(0.665, 0.998]",0.18073341896448045
126,10,"(0.333, 0.665]",0.027868859532796546
127,10,"(0.333, 0.665]",0.058403694759445554
128,10,"(0.333, 0.665]",0.058231442812744484
129,10,"(-0.000964, 0.333]",0.45633367548569514
130,10,"(-0.000964, 0.333]",0.41688255592884244
131,10,"(-0.000964, 0.333]",0.23034586244289076
132,10,"(-0.000964, 0.333]",0.020501270663007214
133,10,"(-0.000964, 0.333]",0.14997204884390525
134,10,"(-0.000964, 0.333]",0.1522956650777452
135,10,"(-0.000964, 0.333]",0.15938554051403983
136,10,"(-0.000964, 0.333]",0.15093286987493348
137,10,"(-0.000964, 0.333]",0.5112074241828638
138,10,"(-0.000964, 0.333]",0.35601922581264833
139,10,"(-0.000964, 0.333]",0.10483280404344718
140,10,"(-0.000964, 0.333]",0.1837017768387843
141,10,"(-0.000964, 0.333]",0.01891527284593262
142,10,"(-0.000964, 0.333]",0.01987207275810874
143,10,"(-0.000964, 0.333]",0.019683886459275993
144,10,"(-0.000964, 0.333]",0.019690418593288336
145,10,"(0.665, 0.998]",0.3755274009316078
146,10,"(0.665, 0.998]",0.41141428623925647
147,10,"(-0.000964, 0.333]",0.09395192337972509
148,10,"(-0.000964, 0.333]",0.06988177091951463
149,10,"(-0.000964, 0.333]",0.07403179608991514
150,10,"(-0.000964, 0.333]",0.03638641040587034
151,10,"(-0.000964, 0.333]",0.05124935482699815
152,10,"(-0.000964, 0.333]",0.05414212627319794
153,10,"(0.665, 0.998]",0.003088053663147206
154,10,"(0.665, 0.998]",0.003088053663147206
155,10,"(0.665, 0.998]",0.009723761365819483
156,10,"(0.665, 0.998]",0.015186408021071953
157,10,"(0.333, 0.665]",0.008901266983776768
158,10,"(0.333, 0.665]",0.020163566117647008
159,10,"(0.333, 0.665]",0.021303414194613682
160,10,"(0.333, 0.665]",0.021770408662303318
161,10,"(0.665, 0.998]",0.10971391770327582
162,10,"(0.665, 0.998]",0.07269287560479766
163,10,"(-0.000964, 0.333]",0.12429217384563244
164,10,"(-0.000964, 0.333]",0.14128129086215388
165,10,"(-0.000964, 0.333]",0.053000525045677746
166,10,"(-0.000964, 0.333]",0.17082207253279558
167,10,"(-0.000964, 0.333]",0.21275414364209252
168,10,"(-0.000964, 0.333]",0.1999646558304061
169,10,"(0.665, 0.998]",0.0
170,10,"(0.665, 0.998]",0.007011215602508415
171,10,"(0.665, 0.998]",1.741417795231643e-08
172,10,"(-0.000964, 0.333]",0.0012359894057143593
173,10,"(-0.000964, 0.333]",0.053100587519140034
174,10,"(-0.000964, 0.333]",0.053100587519140034
175,10,"(-0.000964, 0.333]",0.052594447148612805
176,10,"(-0.000964, 0.333]",0.052594447148612805
177,10,"(0.665, 0.998]",0.12514354843009387
178,10,"(0.665, 0.998]",0.05684297631632947
179,10,"(0.665, 0.998]",0.06837269038563236
180,10,"(0.333, 0.665]",0.08001029519560582
181,10,"(-0.000964, 0.333]",0.0175502184274641
182,10,"(-0.000964, 0.333]",0.0874587977554234
183,10,"(-0.000964, 0.333]",0.007897465320038344
184,10,"(-0.000964, 0.333]",0.011459469954757006
185,10,"(0.665, 0.998]",0.2770248334379306
186,10,"(0.333, 0.665]",0.15973831368749047
187,10,"(0.333, 0.665]",0.03572393888784169
188,10,"(0.333, 0.665]",0.10917036530169001
189,10,"(0.333, 0.665]",0.1522006953442532
190,10,"(-0.000964, 0.333]",0.020433667972645408
191,10,"(-0.000964, 0.333]",7.967526310606681e-05
192,10,"(-0.000964, 0.333]",7.967526311007904e-05
193,10,"(-0.000964, 0.333]",0.37156248745433257
194,10,"(-0.000964, 0.333]",0.092448485503755
195,10,"(-0.000964, 0.333]",0.03865802491248265
196,10,"(-0.000964, 0.333]",0.12663199444556722
197,10,"(-0.000964, 0.333]",0.3015961222900664
198,10,"(-0.000964, 0.333]",0.010840337394734553
199,10,"(-0.000964, 0.333]",0.038736398704923306
200,10,"(-0.000964, 0.333]",0.038758786100826365
201,10,"(0.665, 0.998]",0.19273018073551923
202,10,"(0.333, 0.665]",0.04158429776343331
203,10,"(0.333, 0.665]",0.12172328254602743
204,10,"(-0.000964, 0.333]",0.14822813454690945
205,10,"(-0.000964, 0.333]",0.21362922998640343
206,10,"(-0.000964, 0.333]",0.1777742150695808
207,10,"(-0.000964, 0.333]",0.05718278812762949
208,10,"(-0.000964, 0.333]",0.056911452765646756
209,10,"(0.665, 0.998]",0.0042508874171061205
210,10,"(0.665, 0.998]",0.09109561593900496
211,10,"(0.333, 0.665]",0.21817980909033666
212,10,"(0.333, 0.665]",0.15366914248445507
213,10,"(-0.000964, 0.333]",0.08201061008509805
214,10,"(-0.000964, 0.333]",0.05556253580822467
215,10,"(-0.000964, 0.333]",0.04916946828434167
216,10,"(-0.000964, 0.333]",0.04752390891230528
217,10,"(0.665, 0.998]",0.5312943726258739
218,10,"(0.665, 0.998]",0.5750392355247432
219,10,"(0.665, 0.998]",0.06654179095572132
220,10,"(-0.000964, 0.333]",0.13302800689610497
221,10,"(-0.000964, 0.333]",0.13302800689610497
222,10,"(-0.000964, 0.333]",0.13302800689610497
223,10,"(-0.000964, 0.333]",0.11956362095386316
224,10,"(-0.000964, 0.333]",0.11956362095386326
225,10,"(0.333, 0.665]",0.5124696130950003
226,10,"(-0.000964, 0.333]",0.5616591804856426
227,10,"(-0.000964, 0.333]",0.047410768830601906
228,10,"(-0.000964, 0.333]",0.6340979381571052
229,10,"(-0.000964, 0.333]",0.6422018904743643
230,10,"(-0.000964, 0.333]",0.6422018904743643
231,10,"(-0.000964, 0.333]",0.09728028815162615
232,10,"(-0.000964, 0.333]",0.0974089501077178
233,10,"(-0.000964, 0.333]",0.055781916097875285
234,10,"(-0.000964, 0.333]",0.0026139402860318353
235,10,"(-0.000964, 0.333]",0.4625876151760746
236,10,"(-0.000964, 0.333]",0.0035474879365771424
237,10,"(-0.000964, 0.333]",0.12857008946406423
238,10,"(-0.000964, 0.333]",0.0357751840461085
239,10,"(-0.000964, 0.333]",0.004492556745236135
240,10,"(-0.000964, 0.333]",0.13797783527715932
241,10,"(-0.000964, 0.333]",0.48471317238379935
242,10,"(-0.000964, 0.333]",0.08424186967457475
243,10,"(-0.000964, 0.333]",0.033632078817244074
244,10,"(-0.000964, 0.333]",0.0012622954469279396
245,10,"(-0.000964, 0.333]",0.11510003053486781
246,10,"(-0.000964, 0.333]",0.017705201235119487
247,10,"(0.333, 0.665]",0.0
248,10,"(-0.000964, 0.333]",0.18802539655758502
249,10,"(-0.000964, 0.333]",0.1277595346761357
250,10,"(-0.000964, 0.333]",0.17590447647363766
251,10,"(-0.000964, 0.333]",0.0
252,10,"(-0.000964, 0.333]",0.029043340198165138
253,10,"(0.333, 0.665]",0.060730772785358926
254,10,"(-0.000964, 0.333]",0.10648172704833599
255,10,"(-0.000964, 0.333]",0.06501047060854749
256,10,"(-0.000964, 0.333]",0.17568530781281747
257,10,"(-0.000964, 0.333]",0.024652334209724326
258,10,"(-0.000964, 0.333]",0.2517001252111764
259,10,"(-0.000964, 0.333]",0.004759827947643525
260,10,"(-0.000964, 0.333]",0.3374900336519987
261,10,"(-0.000964, 0.333]",0.03901584340856651
262,10,"(-0.000964, 0.333]",0.09192905744727664
263,10,"(-0.000964, 0.333]",0.20057057444484805
264,10,"(-0.000964, 0.333]",0.5755404123550508
265,10,"(-0.000964, 0.333]",0.00037039063958155575
266,10,"(-0.000964, 0.333]",0.23211554845722696
267,20,"(0.333, 0.665]",4.9592118339486053e-05
268,20,"(0.665, 0.998]",0.0005544834838380053
269,20,"(0.665, 0.998]",0.05353110868380581
270,20,"(0.665, 0.998]",0.00011444155227547581
271,20,"(0.665, 0.998]",0.001913365044326933
272,20,"(0.665, 0.998]",0.002346344986861704
273,20,"(0.665, 0.998]",0.19981607839710186
274,20,"(0.665, 0.998]",0.34479117163882433
275,20,"(0.665, 0.998]",0.13162101412298366
276,20,"(0.665, 0.998]",0.0400891098205253
277,20,"(0.665, 0.998]",0.006888834663900477
278,20,"(0.665, 0.998]",0.03835731664089893
279,20,"(0.665, 0.998]",0.0
280,20,"(0.665, 0.998]",0.11992007227715991
281,20,"(0.665, 0.998]",0.030322733561903938
282,20,"(0.665, 0.998]",7.624955094839351e-06
283,20,"(0.665, 0.998]",0.322664886575638
284,20,"(0.665, 0.998]",0.0011057372803063427
285,20,"(0.665, 0.998]",0.16269568168139723
286,20,"(0.333, 0.665]",0.034524973389140394
287,20,"(-0.000964, 0.333]",0.0
288,20,"(0.665, 0.998]",0.00896357571384557
289,20,"(0.665, 0.998]",0.014788575022627199
290,20,"(0.665, 0.998]",0.07773702611281423
291,20,"(0.665, 0.998]",0.0008421754262554347
292,20,"(0.665, 0.998]",0.1976980691266014
293,20,"(0.665, 0.998]",0.011296194877622696
294,20,"(0.665, 0.998]",0.00016520199145083324
295,20,"(0.333, 0.665]",0.02542049798138764
296,20,"(0.665, 0.998]",0.05027625120744869
297,20,"(0.665, 0.998]",0.0033829748050838663
298,20,"(0.333, 0.665]",0.09920859178343666
299,20,"(0.665, 0.998]",0.27228081807783305
300,20,"(0.665, 0.998]",0.01229065977423899
301,20,"(0.665, 0.998]",0.0015322104469234516
302,20,"(0.665, 0.998]",0.030400610211153378
303,20,"(0.333, 0.665]",0.21742244700635108
304,20,"(0.665, 0.998]",0.19713590504109924
305,20,"(0.665, 0.998]",0.45563514083202056
306,20,"(0.665, 0.998]",0.033632271609354794
307,20,"(0.665, 0.998]",0.03024263651852661
308,20,"(0.665, 0.998]",0.04309894814355219
309,20,"(-0.000964, 0.333]",7.04593069714135e-05
310,20,"(-0.000964, 0.333]",0.0
311,20,"(-0.000964, 0.333]",0.01687063425768374
312,20,"(-0.000964, 0.333]",0.14789097193212833
313,20,"(-0.000964, 0.333]",0.0
314,20,"(-0.000964, 0.333]",0.0
315,20,"(-0.000964, 0.333]",0.00032982205132999956
316,20,"(0.333, 0.665]",0.003638771881810729
317,20,"(0.333, 0.665]",0.04740034052733804
318,20,"(0.333, 0.665]",0.10831626765028694
319,20,"(-0.000964, 0.333]",0.04375301038545539
320,20,"(-0.000964, 0.333]",0.12075063194242418
321,20,"(-0.000964, 0.333]",0.11877149344925492
322,20,"(-0.000964, 0.333]",0.0723647753524176
323,20,"(-0.000964, 0.333]",0.06350670804562256
324,20,"(0.665, 0.998]",0.004908437090560844
325,20,"(0.665, 0.998]",0.006710434112056786
326,20,"(0.333, 0.665]",0.003081202534179124
327,20,"(0.665, 0.998]",0.017663733741224586
328,20,"(-0.000964, 0.333]",0.051150367174460566
329,20,"(-0.000964, 0.333]",0.051150367174460566
330,20,"(-0.000964, 0.333]",0.08216735527554656
331,20,"(-0.000964, 0.333]",0.12929521226693164
332,20,"(0.665, 0.998]",0.028723273484809297
