,n,range,value
125,10,"(-0.000964, 0.333]",0.12282092764832082
126,10,"(0.665, 0.998]",0.18581702422924656
127,10,"(0.665, 0.998]",0.16768016464619018
128,10,"(0.333, 0.665]",0.03918100413966878
129,10,"(0.665, 0.998]",0.07407494411114099
130,10,"(-0.000964, 0.333]",0.051150367174460566
131,10,"(-0.000964, 0.333]",0.051150367174460566
132,10,"(-0.000964, 0.333]",0.08216735527554656
133,10,"(-0.000964, 0.333]",0.12929521226693164
134,10,"(0.665, 0.998]",0.028723273484809297
135,10,"(0.665, 0.998]",0.14425913409942473
136,10,"(-0.000964, 0.333]",0.012075630747319047
137,10,"(-0.000964, 0.333]",0.03930677912012418
138,10,"(-0.000964, 0.333]",0.08029466391364856
139,10,"(-0.000964, 0.333]",0.0770662390283743
140,10,"(-0.000964, 0.333]",0.036501991080990406
141,10,"(-0.000964, 0.333]",0.036501991080990406
142,10,"(0.333, 0.665]",0.2494444375933463
143,10,"(0.333, 0.665]",0.5298789437780288
144,10,"(-0.000964, 0.333]",0.31304710154031923
145,10,"(-0.000964, 0.333]",0.10044034585459777
146,10,"(-0.000964, 0.333]",0.3103378028559424
147,10,"(-0.000964, 0.333]",0.3313192136564774
148,10,"(-0.000964, 0.333]",0.33152434683180143
149,10,"(-0.000964, 0.333]",0.3179418972527612
150,10,"(-0.000964, 0.333]",0.27215992561709346
151,10,"(-0.000964, 0.333]",0.24647947252537725
152,10,"(-0.000964, 0.333]",0.20280466771132866
153,10,"(-0.000964, 0.333]",0.21375304824347574
154,10,"(-0.000964, 0.333]",0.2561109974882869
155,10,"(-0.000964, 0.333]",0.2766736903954233
156,10,"(-0.000964, 0.333]",0.26362109627585406
157,10,"(-0.000964, 0.333]",0.26294260095754246
158,10,"(0.665, 0.998]",0.2580078167809479
159,10,"(0.665, 0.998]",0.22372203236633031
160,10,"(0.333, 0.665]",0.13355219831985313
161,10,"(0.333, 0.665]",0.11020346123743946
162,10,"(0.333, 0.665]",0.11020346123743946
163,10,"(0.333, 0.665]",0.004228966358038118
164,10,"(-0.000964, 0.333]",0.0005430361090335288
165,10,"(-0.000964, 0.333]",0.0005430361090335288
166,10,"(0.665, 0.998]",0.38592405204732294
167,10,"(0.333, 0.665]",0.3703682491203934
168,10,"(-0.000964, 0.333]",0.4592467033109055
169,10,"(-0.000964, 0.333]",0.18397833189433097
170,10,"(-0.000964, 0.333]",0.1546389737263171
171,10,"(-0.000964, 0.333]",0.05047946351997232
172,10,"(-0.000964, 0.333]",0.013378476520428428
173,10,"(-0.000964, 0.333]",0.014938233348667352
174,10,"(0.665, 0.998]",0.0005646332939410208
175,10,"(0.665, 0.998]",0.4432661351442023
176,10,"(0.665, 0.998]",0.42414495407740377
177,10,"(0.665, 0.998]",0.3369237222437536
178,10,"(0.333, 0.665]",0.2435273672814843
179,10,"(-0.000964, 0.333]",0.05551082025009682
180,10,"(-0.000964, 0.333]",0.16827791166692094
181,10,"(-0.000964, 0.333]",0.16827791166692063
182,10,"(0.665, 0.998]",0.04867129827897279
183,10,"(0.665, 0.998]",0.16783218430502025
184,10,"(0.333, 0.665]",0.10390741403951463
185,10,"(-0.000964, 0.333]",0.26081186472818135
186,10,"(-0.000964, 0.333]",0.21004031139055504
187,10,"(-0.000964, 0.333]",0.2570998043024087
188,10,"(-0.000964, 0.333]",0.23789342467197694
189,10,"(-0.000964, 0.333]",0.23789342467197694
190,10,"(0.333, 0.665]",0.050415855715892445
191,10,"(0.333, 0.665]",0.33969291811088126
192,10,"(-0.000964, 0.333]",0.10835314456733512
193,10,"(0.333, 0.665]",0.20384884760867183
194,10,"(-0.000964, 0.333]",0.08770511144503815
195,10,"(-0.000964, 0.333]",0.0
196,10,"(-0.000964, 0.333]",0.061042627424532495
197,10,"(-0.000964, 0.333]",0.012015467109051778
198,10,"(0.333, 0.665]",0.22085155512988325
199,10,"(-0.000964, 0.333]",0.21586819751363437
200,10,"(-0.000964, 0.333]",0.21572606800566643
201,10,"(-0.000964, 0.333]",0.21051988823797352
202,10,"(-0.000964, 0.333]",0.05931622557652023
203,10,"(-0.000964, 0.333]",0.059182826173452614
204,10,"(-0.000964, 0.333]",0.059182826173452614
205,10,"(-0.000964, 0.333]",0.05918282617345294
206,10,"(0.665, 0.998]",0.07153227760928134
207,10,"(0.665, 0.998]",0.12460516735618157
208,10,"(0.665, 0.998]",0.0014975748379212348
209,10,"(-0.000964, 0.333]",0.05939310062530437
210,10,"(-0.000964, 0.333]",0.05939310062530437
211,10,"(-0.000964, 0.333]",0.05939310062530437
