,ps1_disc,error_diff
929,"(1e-06, 0.201]",0.5039076522501436
930,"(0.201, 0.401]",0.4687336580320281
931,"(0.6, 0.8]",0.28418466142864973
932,"(0.8, 1.0]",0.41749554159010765
933,"(0.8, 1.0]",0.08147172168504625
938,"(1e-06, 0.201]",0.6196664630399916
939,"(1e-06, 0.201]",0.5825778725018143
940,"(1e-06, 0.201]",0.4283401687204098
941,"(1e-06, 0.201]",0.479169404011547
942,"(0.201, 0.401]",0.35423312643749794
943,"(0.401, 0.6]",0.17639276273612647
944,"(0.8, 1.0]",0.21158398390408775
949,"(1e-06, 0.201]",0.5212195333670946
950,"(1e-06, 0.201]",0.4964294262992688
951,"(0.8, 1.0]",0.5219257526991289
952,"(0.8, 1.0]",0.48180069923674507
953,"(0.8, 1.0]",0.48180069923674507
954,"(0.8, 1.0]",0.48180069923674507
955,"(0.8, 1.0]",0.481704860314412
960,"(1e-06, 0.201]",0.6815418391306961
961,"(1e-06, 0.201]",0.6536918943200358
962,"(1e-06, 0.201]",0.5071812836705972
963,"(0.6, 0.8]",0.6499215449534551
964,"(0.6, 0.8]",0.6635584727840447
965,"(0.6, 0.8]",0.6635584727840447
966,"(0.6, 0.8]",0.00750139420195942
993,"(0.201, 0.401]",0.6117146184306819
994,"(0.401, 0.6]",0.6078403932092346
995,"(0.401, 0.6]",0.5965219839493386
996,"(0.8, 1.0]",0.4294198779703143
997,"(0.8, 1.0]",0.48481688418079905
998,"(0.8, 1.0]",0.522805414655567
999,"(0.8, 1.0]",0.1188789949245124
1037,"(1e-06, 0.201]",0.48279505922580246
1038,"(1e-06, 0.201]",0.4988408855018926
1039,"(1e-06, 0.201]",0.5203084317443479
1040,"(1e-06, 0.201]",0.46222784161678565
1041,"(1e-06, 0.201]",0.32770445278787863
1042,"(1e-06, 0.201]",0.04142734378598453
1043,"(0.8, 1.0]",0.07860392730524751
10,"(1.0, 1.0]",0.06762008362524245
21,"(1.0, 1.0]",0.5237138217242173
32,"(1.0, 1.0]",0.5462390971935173
43,"(1.0, 1.0]",0.00010688481727987445
54,"(1.0, 1.0]",0.5303256077894244
65,"(1.0, 1.0]",0.1556485052802706
76,"(1.0, 1.0]",0.007559839557140285
87,"(1.0, 1.0]",0.007332126428244219
98,"(1.0, 1.0]",0.006716727438293518
109,"(1.0, 1.0]",0.0380018161696123
131,"(1.0, 1.0]",0.15133196584938596
164,"(1.0, 1.0]",0.019436949285441697
175,"(1.0, 1.0]",0.9091263720847012
186,"(1.0, 1.0]",0.0677778206632756
197,"(1.0, 1.0]",0.015926691501107055
219,"(1.0, 1.0]",0.10786661577029599
230,"(1.0, 1.0]",0.5326962540141621
241,"(1.0, 1.0]",0.15071073473606514
252,"(1.0, 1.0]",0.01769601200983536
274,"(1.0, 1.0]",0.006510194978713755
285,"(1.0, 1.0]",0.4703391952927255
296,"(1.0, 1.0]",0.5211585666085339
307,"(1.0, 1.0]",0.08430291477075624
340,"(1.0, 1.0]",0.5010762964735762
351,"(1.0, 1.0]",3.365924011722161e-05
373,"(1.0, 1.0]",0.01796302613251861
384,"(1.0, 1.0]",0.003188166446871339
395,"(1.0, 1.0]",0.0704439540067769
406,"(1.0, 1.0]",5.655312910882472e-05
428,"(1.0, 1.0]",0.09743158988663966
439,"(1.0, 1.0]",0.00036245621969573463
450,"(1.0, 1.0]",0.26580364722339456
472,"(1.0, 1.0]",0.09567239663746681
494,"(1.0, 1.0]",0.11365612081616885
505,"(1.0, 1.0]",0.02358354690344179
516,"(1.0, 1.0]",0.08481255383607918
538,"(1.0, 1.0]",0.23041101001088948
549,"(1.0, 1.0]",0.698604562676216
560,"(1.0, 1.0]",0.4706062195264075
571,"(1.0, 1.0]",0.706341748440108
582,"(1.0, 1.0]",0.07680142696673557
593,"(1.0, 1.0]",0.05275860910910708
637,"(1.0, 1.0]",0.05604171942436708
659,"(1.0, 1.0]",0.041830642663365065
692,"(1.0, 1.0]",0.2713811918699155
714,"(1.0, 1.0]",0.021955818911379214
725,"(1.0, 1.0]",0.033255924220936775
747,"(1.0, 1.0]",0.0004368576026790349
758,"(1.0, 1.0]",0.014490633448869594
769,"(1.0, 1.0]",0.17327526014195793
780,"(1.0, 1.0]",0.5708308674204203
791,"(1.0, 1.0]",0.013239016239563056
802,"(1.0, 1.0]",0.13519436452382896
813,"(1.0, 1.0]",0.06795496106584262
824,"(1.0, 1.0]",0.6531713035409747
835,"(1.0, 1.0]",0.3643766278521237
857,"(1.0, 1.0]",0.001095020044461831
868,"(1.0, 1.0]",0.03825049821672405
879,"(1.0, 1.0]",0.011579410098601809
890,"(1.0, 1.0]",0.018366777256979418
901,"(1.0, 1.0]",1.1177980872980486
912,"(1.0, 1.0]",0.16832187494435918
923,"(1.0, 1.0]",0.031146793582307753
934,"(1.0, 1.0]",0.10706146943548671
945,"(1.0, 1.0]",0.05160926411374744
956,"(1.0, 1.0]",0.481704860314412
967,"(1.0, 1.0]",0.007350836292559091
978,"(1.0, 1.0]",0.6008383378230157
989,"(1.0, 1.0]",0.5053319072095881
1000,"(1.0, 1.0]",0.1188789949245124
1011,"(1.0, 1.0]",0.5607274022688199
1044,"(1.0, 1.0]",0.005955849166884673
