PNS,effect,cause,model
0.29371501198611144,0,7,triangolo_causal_174.uai
0.31519957816620137,0,7,triangolo_causal_160.uai
0.2891006673927127,0,7,triangolo_causal_148.uai
0.2812063562929132,0,7,triangolo_causal_99.uai
0.278853462591233,0,7,triangolo_causal_66.uai
0.2856228140651195,0,7,triangolo_causal_72.uai
0.29204406639862546,0,7,triangolo_causal_216.uai
0.28578999739583977,0,7,triangolo_causal_203.uai
0.3030738116340046,0,7,triangolo_causal_73.uai
0.2995365110108602,0,7,triangolo_causal_67.uai
0.2954461438675793,0,7,triangolo_causal_149.uai
0.3110856760395129,0,7,triangolo_causal_175.uai
0.287833954748663,0,7,triangolo_causal_349.uai
0.3017733090784234,0,7,triangolo_causal_163.uai
0.31065932613388636,0,7,triangolo_causal_188.uai
0.3030605667703307,0,7,triangolo_causal_59.uai
0.31089354796679064,0,7,triangolo_causal_215.uai
0.2996071110299529,0,7,triangolo_causal_201.uai
0.288126036628254,0,7,triangolo_causal_200.uai
0.29660296450090956,0,7,triangolo_causal_214.uai
0.2799063070447086,0,7,triangolo_causal_58.uai
0.3022356614807685,0,7,triangolo_causal_189.uai
0.29393445123834167,0,7,triangolo_causal_162.uai
0.3005744850592804,0,7,triangolo_causal_348.uai
0.2980647471545056,0,7,triangolo_causal_238.uai
0.3343348460263086,0,7,triangolo_causal_210.uai
0.2901751648073224,0,7,triangolo_causal_239.uai
0.2889745504989427,0,7,triangolo_causal_61.uai
0.2958045176444041,0,7,triangolo_causal_75.uai
0.31075088230689907,0,7,triangolo_causal_198.uai
0.29102455771205543,0,7,triangolo_causal_173.uai
0.31300452769713627,0,7,triangolo_causal_159.uai
0.286615725741989,0,7,triangolo_causal_171.uai
0.2797683748340368,0,7,triangolo_causal_165.uai
0.3034411867725382,0,7,triangolo_causal_88.uai
0.29229488361833345,0,7,triangolo_causal_63.uai
0.3049469555603011,0,7,triangolo_causal_207.uai
0.2984355900480334,0,7,triangolo_causal_62.uai
0.2949899812389478,0,7,triangolo_causal_89.uai
0.296672146964199,0,7,triangolo_causal_164.uai
0.2935274253877229,0,7,triangolo_causal_170.uai
0.28486643522512856,0,7,triangolo_causal_158.uai
0.2991507721331526,0,7,triangolo_causal_315.uai
0.2896933298591411,0,7,triangolo_causal_301.uai
0.3235112592181523,0,7,triangolo_causal_117.uai
0.3190348094449431,0,7,triangolo_causal_103.uai
0.3095067626795802,0,7,triangolo_causal_275.uai
0.3182140889566488,0,7,triangolo_causal_249.uai
0.29509447542915235,0,7,triangolo_causal_248.uai
0.28072046937034667,0,7,triangolo_causal_102.uai
0.30208204703893604,0,7,triangolo_causal_116.uai
0.30553627200246847,0,7,triangolo_causal_300.uai
0.3046671327260412,0,7,triangolo_causal_314.uai
0.2937956770968449,0,7,triangolo_causal_114.uai
0.303606778937123,0,7,triangolo_causal_128.uai
0.2885596554108203,0,7,triangolo_causal_276.uai
0.3165917730988791,0,7,triangolo_causal_262.uai
0.27141788541828993,0,7,triangolo_causal_277.uai
0.3037497673847428,0,7,triangolo_causal_115.uai
0.2977128563891275,0,7,triangolo_causal_317.uai
0.3183773536270837,0,7,triangolo_causal_307.uai
0.299593581358124,0,7,triangolo_causal_139.uai
0.2870087504511522,0,7,triangolo_causal_273.uai
