,old_0.01,new_0.01,old_0.05,new_0.05,old_0.75,new_0.75,old_0.1,new_0.1
0,0.10696843799256825,0.017820680135969685,0.5035703966411834,0.13226871827964545,0.9723634260524872,0.7644293350415482,0.6958271243895037,0.24261346235581638
1,0.24299077444710807,0.013666000670849377,0.7800377080582301,0.10406194477466546,0.9981923132051517,0.7148623846179751,0.9148111819684599,0.19745940272846793
2,0.38287533787426814,0.04338930893094889,0.9115252827329136,0.2546059459776919,0.999914325314433,0.8707011340687129,0.9790510005717692,0.4106666768399583
3,0.5088302499230521,0.085085277458222,0.9657604797283859,0.4131941112219117,0.9999964301838408,0.9456443371796368,0.9950643557612104,0.5981328001163791
4,0.6154891371895681,0.10164970255456801,0.9870154518922473,0.4599735583905736,0.9999998594985131,0.9581564560577747,0.9988596896704416,0.6461989240329714
5,0.7025436377896046,0.13562654806613672,0.9951328088672622,0.5489257964732692,0.9999999946149256,0.9766593603978359,0.9997392393301342,0.7320384431033927
6,0.7718957083416377,0.2236289457515477,0.9981880332683888,0.72538989753745,0.9999999997961739,0.9954729730793723,0.9999407042224367,0.8755840660494534
7,0.8262243292344241,0.29999184944446966,0.9993282059088385,0.8248944593103216,0.9999999999923307,0.998965597943065,0.9999865583275328,0.9375236413753726
8,0.8682734036285604,0.36625186553878814,0.9997515480925419,0.8841578644145813,0.9999999999997122,0.9997328717362534,0.9999969582232647,0.966656329498842
9,0.9005304987444805,0.4647991579804445,0.9999082529462774,0.9418819427215311,0.9999999999999892,0.9999729085038106,0.9999993123339428,0.9882935198694099
10,0.9251115623475341,0.44227702632274263,0.9999661513261173,0.931170924913023,0.9999999999999996,0.999952281184917,0.9999998446219587,0.9848603349486769
11,0.9437485989691842,0.5272851406015636,0.9999875190791534,0.9642879961629702,1.0,0.9999945825149831,0.99999996490319,0.9943813268119082
12,0.9578241068750357,0.5780991194900621,0.9999953995322444,0.9768205100672825,1.0,0.9999986883778781,0.9999999920737063,0.9970605449759836
13,0.9684225937583474,0.6317063296755017,0.9999983046250376,0.9862029264841776,1.0,0.9999997648951815,0.9999999982100942,0.9986519599727562
14,0.9763842856482945,0.6769077019368871,0.999999375297211,0.9915700873924185,1.0,0.9999999539657313,0.9999999995958282,0.9993561526781978
15,0.9823542258046285,0.7359940731195893,0.9999997698310378,0.9960130378976082,1.0,0.9999999961253774,0.9999999999087382,0.9997901796018772
16,0.9868242372401176,0.7869751046287936,0.9999999151993818,0.9981790800787158,1.0,0.9999999997085511,0.9999999999793936,0.9999350002908133
17,0.9901673741618726,0.8100972865053099,0.9999999687580327,0.9987814104776106,1.0,0.9999999999210332,0.9999999999953472,0.9999641800375655
18,0.9926654769981245,0.8303682786554231,0.9999999884901459,0.9991871920807913,1.0,0.9999999999789473,0.9999999999989494,0.999980431181734
19,0.9945308188700729,0.8458949059314439,0.9999999957597016,0.999422863748979,1.0,0.9999999999932725,0.9999999999997627,0.9999882602305207
20,0.9959228936094501,0.8747976993376301,0.9999999984378597,0.9997241162778578,1.0,0.9999999999993997,0.9999999999999465,0.9999960979837055
21,0.9969613138407375,0.8928476170671055,0.9999999994245046,0.9998407659371077,1.0,0.999999999999901,0.9999999999999879,0.9999982812681295
22,0.9977356510081087,0.9085612708625872,0.9999999997879869,0.9999078533375433,1.0,1.0000000000003755,0.9999999999999972,0.9999992375884786
23,0.9983129024606323,0.9216138528198861,0.9999999999218943,0.9999462326373876,1.0,1.0000000000016376,0.9999999999999993,0.9999996585644978
24,0.9987431347139032,0.9366826897089572,0.9999999999712258,0.9999742891172686,1.0,0.99999999999941,0.9999999999999999,0.9999998861499533
25,0.999063734894906,0.948854052045027,0.9999999999893996,0.999987660212077,1.0,1.000000000000293,1.0,0.9999999618200093
26,0.9993026057717952,0.9568277390947999,0.9999999999960948,0.9999930642869682,1.0,1.0000000000000129,1.0,0.9999999837804473
