,N,dovar,obsvar,target,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1,lowerbound2,upperbound2
1,3,0,-1,1,1234,CCALPeps,807.033,752.792,0.1570270353500937,0.6199932673861718,0.3800067326138282,0.8429729646499062,,
2,3,0,-1,1,2468,CCVE,452.541,30.447,0.004415011037527593,0.004415011037527593,0.9955849889624724,0.9955849889624724,,
3,3,0,-1,1,2468,CCALPeps,887.833,830.696,0.004440284951497179,0.004443126614545178,0.9955568733854548,0.9955597150485028,,
4,3,0,-1,1,3702,CCVE,427.665,28.549,0.7637795275590552,0.7637795275590552,0.23622047244094485,0.23622047244094485,,
5,3,0,-1,1,3702,CCALPeps,787.294,731.913,0.7628604182562388,0.7634334101801012,0.23656658981989875,0.23713958174376115,,
6,3,0,-1,,1234,CCVE,436.604,37.267,0.1568627450980392,0.6211453744493393,0.37885462555066085,0.8431372549019608,,
7,3,0,-1,,1234,CCALPeps,829.073,777.459,0.1570270353500937,0.6199932673861717,0.38000673261382834,0.8429729646499062,,
8,3,0,-1,,2468,CCVE,457.226,31.935,0.004415011037527593,0.004415011037527593,0.9955849889624724,0.9955849889624724,,
9,3,0,-1,,2468,CCALPeps,875.444,822.152,0.004440284951497179,0.0044431266145451564,0.9955568733854548,0.9955597150485028,,
10,3,0,-1,,3702,CCVE,429.587,30.913,0.7637795275590552,0.7637795275590552,0.23622047244094485,0.23622047244094485,,
11,3,0,-1,,3702,CCALPeps,786.145,733.465,0.7628604182562388,0.7634334101801012,0.23656658981989875,0.23713958174376115,,
12,5,0,-1,1,1234,CCVE,539.465,77.163,0.6462882096069869,0.9415268002165673,0.05847319978343261,0.35371179039301315,,
13,5,0,-1,1,1234,CCALPeps,1646.795,1590.941,0.6463231931664705,0.9411966185066252,0.058803381493374864,0.35367680683352953,,
14,5,0,-1,1,2468,CCVE,541.318,54.31,0.027850339589277823,0.027850339589277823,0.9721496604107223,0.9721496604107223,,
15,5,0,-1,1,2468,CCALPeps,1863.054,1803.017,0.02807807791526227,0.028122263154843504,0.9718777368451565,0.9719219220847377,,
16,5,0,-1,1,3702,CCVE,538.178,49.955,0.9745166355683089,0.9745166355683089,0.02548336443169102,0.02548336443169102,,
17,5,0,-1,1,3702,CCALPeps,1583.654,1522.993,0.974275632323003,0.9743549619109696,0.02564503808903041,0.02572436767699704,,
18,5,0,-1,,1234,CCVE,572.261,121.26,0.1666486193827829,0.4382096069868997,0.4427720628045479,0.6600982532751092,0.11048034934497818,0.18348673524634546
19,5,0,-1,,1234,CCALPeps,2346.057,2292.895,0.2250273680974388,0.3791307351752647,0.45156341680326284,0.6499301814921745,0.12504245041038664,0.16930584802147244
20,5,0,-1,,2468,CCVE,543.895,68.277,0.9633685648836555,0.9633685648836555,0.02939758067757103,0.02939758067757103,0.00723385443877346,0.00723385443877346
21,5,0,-1,,2468,CCALPeps,2552.907,2496.335,0.9629746734153718,0.9631563099818371,0.02951362247247538,0.029592085402674138,0.007326500541432031,0.007433778020034932
22,5,0,-1,,3702,CCVE,504.833,53.824,0.0055990010490022816,0.0055990010490022816,0.2293684332003387,0.2293684332003387,0.765032565750659,0.765032565750659
23,5,0,-1,,3702,CCALPeps,2246.278,2184.899,0.00563334675443343,0.00563711848347872,0.22953918798543818,0.22959668445021533,0.764766197066306,0.7648274652601285
24,7,0,-1,1,1234,CCVE,712.593,245.964,0.64,0.9400000000000001,0.06000000000000002,0.36000000000000004,,
25,7,0,-1,1,1234,CCALPeps,2982.83,2925.554,0.64005698880022,0.9396670967786246,0.06033290322137544,0.35994301119978,,
26,7,0,-1,1,2468,CCVE,626.992,110.662,0.18714948719650915,0.18714948719650915,0.8128505128034909,0.8128505128034909,,
27,7,0,-1,1,2468,CCALPeps,2712.244,2654.305,0.18726835901817127,0.18736624397362822,0.8126337560263718,0.8127316409818287,,
28,7,0,-1,1,3702,CCVE,579.708,92.101,0.9636656544326374,0.9636656544326374,0.03633434556736259,0.03633434556736259,,
29,7,0,-1,1,3702,CCALPeps,2655.746,2598.306,0.9633528035470237,0.9634652430732378,0.036534756926762224,0.036647196452976316,,
30,7,0,-1,,1234,CCVE,577.838,101.68,0.1328,0.1388,0.8612,0.8671999999999999,,
31,7,0,-1,,1234,CCALPeps,2930.664,2872.791,0.1329546998070244,0.1389439067042295,0.8610560932957705,0.8670453001929755,,
32,7,0,-1,,2468,CCVE,610.484,103.167,0.523844276477367,0.523844276477367,0.47615572352263297,0.47615572352263297,,
33,7,0,-1,,2468,CCALPeps,2810.232,2746.082,0.5238872922792702,0.524037949709566,0.4759620502904341,0.4761127077207298,,
34,7,0,-1,,3702,CCVE,610.622,95.239,0.09566389492756185,0.09566389492756185,0.9043361050724382,0.9043361050724382,,
35,7,0,-1,,3702,CCALPeps,2616.756,2556.126,0.09597633555648767,0.09601671058583286,0.9039832894141672,0.9040236644435123,,
36,9,0,-1,1,1234,CCVE,1018.592,478.598,0.64,0.94,0.06000000000000002,0.36,,
37,9,0,-1,1,1234,CCALPeps,4001.797,3931.761,0.6400569888002199,0.9396670967786246,0.06033290322137546,0.3599430111997801,,
38,9,0,-1,1,2468,CCVE,814.985,273.374,0.17999999999999997,0.17999999999999997,0.8199999999999997,0.8199999999999997,,
39,9,0,-1,1,2468,CCALPeps,4265.049,4200.128,0.18012498919874045,0.18021991122423464,0.8197800887757654,0.8198750108012596,,
40,9,0,-1,1,3702,CCVE,767.706,254.488,0.9695801642968419,0.9695801642968419,0.030419835703158128,0.030419835703158128,,
41,9,0,-1,1,3702,CCALPeps,3170.875,3110.235,0.9692971711978265,0.9693913742216502,0.030608625778349816,0.030702828802173444,,
42,9,0,-1,,1234,CCVE,874.5,347.904,0.05436814425244178,0.054813298271975966,0.18536333583771603,0.19098129226145755,0.7546505634861007,0.7598233658903081
43,9,0,-1,,1234,CCALPeps,6012.763,5945.475,0.05438449247682775,0.05482768461258485,0.18591228535011958,0.19051765964981413,0.754654655737601,0.7597032221730526
44,9,0,-1,,2468,CCVE,823.864,294.163,0.09953199999999998,0.09953199999999998,0.442288,0.442288,0.4581799999999999,0.4581799999999999
45,9,0,-1,,2468,CCALPeps,4936.385,4873.073,0.09956381019686292,0.09959098199681159,0.4423098037613275,0.4424426436721878,0.45799354613094934,0.458099214241861
