,N,dovar,obsvar,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1,lowerbound2,upperbound2
0,3,0,-1,1234,CVE,2.3688000000000002,1.8725999999999998,0.15447154471544716,0.15447154471544716,0.04552845528455285,0.04552845528455285,,
1,3,0,-1,1234,CCVE,88.53600000000002,2.8259999999999996,0.15447154471544716,0.15447154471544716,0.04552845528455285,0.04552845528455285,,
2,3,0,-1,1234,CCALPeps,306.7942,303.11879999999996,0.1544242147394885,0.15442421473948853,0.04557578526051147,0.045575785260511495,,
3,3,0,-1,2468,CVE,2.4782,1.991,0.186,0.186,0.014000000000000002,0.014000000000000002,,
4,3,0,-1,2468,CCVE,99.245,2.9762,0.186,0.186,0.013999999999999999,0.013999999999999999,,
5,3,0,-1,2468,CCALPeps,260.11080000000004,257.02419999999995,0.18596181011772847,0.18596181011772847,0.014038189882271523,0.014038189882271523,,
6,3,0,-1,3702,CVE,2.7277999999999993,2.1558,0.2,0.2,0.0,0.0,,
7,3,0,-1,3702,CCVE,90.8962,2.4346,0.2,0.2,0.0,0.0,,
8,3,0,-1,3702,CCALPeps,268.62120000000004,265.4428,0.19998495704197364,0.19998495704197364,1.5042958026360729e-05,1.5042958026367792e-05,,
9,3,0,-1,4936,CVE,2.8566,2.3266,0.1296875,0.1296875,0.07031250000000001,0.07031250000000001,,
10,3,0,-1,4936,CCVE,90.9298,2.3874000000000004,0.1296875,0.1296875,0.07031249999999999,0.07031249999999999,,
11,3,0,-1,4936,CCALPeps,238.0036,234.71419999999998,0.12967730271943748,0.12967730271943756,0.07032269728056245,0.07032269728056253,,
12,3,0,-1,6170,CVE,2.6318,2.0105999999999997,0.2,0.2,0.0,0.0,,
13,3,0,-1,6170,CCVE,96.1268,2.9991999999999996,0.2,0.2,0.0,0.0,,
14,3,0,-1,6170,CCALPeps,317.1516,313.9322,0.19993194013005172,0.19993194013005172,6.805986994828928e-05,6.80598699482978e-05,,
15,3,0,-1,7404,CVE,3.0682,2.3838,0.2,0.2,0.0,0.0,,
16,3,0,-1,7404,CCVE,95.8418,3.3024,0.2,0.2,0.0,0.0,,
17,3,0,-1,7404,CCALPeps,290.5892,287.3664,0.19999999536619698,0.19999999536619698,4.633803030174022e-09,4.633803037915602e-09,,
18,3,0,-1,8638,CVE,2.9206,2.3432,0.0,0.0,0.2,0.2,,
19,3,0,-1,8638,CCVE,91.0998,2.6532,0.0,0.0,0.2,0.2,,
20,3,0,-1,8638,CCALPeps,263.59620000000007,260.18420000000003,2.3986357012772922e-05,2.3986357012772962e-05,0.19997601364298717,0.19997601364298723,,
21,3,0,-1,9872,CVE,2.6525999999999996,2.0469999999999997,0.2,0.2,0.0,0.0,,
22,3,0,-1,9872,CCVE,92.572,2.6957999999999998,0.2,0.2,0.0,0.0,,
23,3,0,-1,9872,CCALPeps,276.53560000000004,273.2596,0.19997237759519487,0.19997237759519487,2.76224048051086e-05,2.7622404805116572e-05,,
24,3,0,-1,11106,CVE,2.9438,2.2372,0.0,0.0,0.2,0.2,,
25,3,0,-1,11106,CCVE,96.5924,3.0216000000000003,0.0,0.0,0.2,0.2,,
26,3,0,-1,11106,CCALPeps,295.33959999999996,292.65999999999997,2.2307600410697416e-05,2.230760041069743e-05,0.19997769239958932,0.19997769239958932,,
27,3,0,-1,12340,CVE,2.7766,2.1428,0.1971698113207547,0.1971698113207547,0.0028301886792452833,0.0028301886792452833,,
28,3,0,-1,12340,CCVE,94.9936,2.643,0.1971698113207547,0.1971698113207547,0.0028301886792452833,0.0028301886792452833,,
29,3,0,-1,12340,CCALPeps,229.1198,225.89680000000004,0.19715057231686725,0.19715057231686725,0.002849427683132744,0.002849427683132746,,
30,4,0,-1,1234,CVE,3.2399999999999998,2.664,0.13649372140562638,0.13649372140562638,0.062143482916382754,0.062143482916382754,0.0013627956779908496,0.0013627956779908496
31,4,0,-1,1234,CCVE,112.5566,5.0733999999999995,0.1364937214056264,0.1364937214056264,0.06214348291638274,0.06214348291638274,0.0013627956779908499,0.0013627956779908499
32,4,0,-1,1234,CCALPeps,614.9546,611.2844,0.13633096421795243,0.1363309642179525,0.06229411797045732,0.06229411797045736,0.0013749178115902063,0.0013749178115902074
33,4,0,-1,2468,CVE,3.1885999999999997,2.6222000000000003,0.08846230400070768,0.08846230400070768,0.05035274343720282,0.05035274343720282,0.06118495256208948,0.06118495256208948
34,4,0,-1,2468,CCVE,116.57939999999999,4.2644,0.0884623040007077,0.0884623040007077,0.05035274343720282,0.05035274343720282,0.06118495256208948,0.06118495256208948
35,4,0,-1,2468,CCALPeps,593.8172,590.4242,0.0884486842004438,0.08844868420044386,0.05034137090069311,0.05034137090069315,0.06120994489886302,0.061209944898863056
36,4,0,-1,3702,CVE,2.9994000000000005,2.4784,0.011871466825349598,0.011871466825349598,0.1662005355548944,0.1662005355548944,0.021927997619756025,0.021927997619756025
37,4,0,-1,3702,CCVE,121.529,4.8086,0.0118714668253496,0.0118714668253496,0.1662005355548944,0.1662005355548944,0.021927997619756025,0.021927997619756025
38,4,0,-1,3702,CCALPeps,620.8416000000001,617.318,0.011906369378859378,0.01190636937885939,0.16610116012015244,0.16610116012015244,0.02199247050098818,0.02199247050098818
39,4,0,-1,4936,CVE,3.0304,2.4776,0.009950219006473025,0.009950219006473025,0.17300763906537303,0.17300763906537303,0.01704214192815392,0.01704214192815392
40,4,0,-1,4936,CCVE,115.997,4.457,0.009950219006473023,0.009950219006473023,0.17300763906537306,0.17300763906537306,0.01704214192815392,0.01704214192815392
41,4,0,-1,4936,CCALPeps,457.8736,453.9509999999999,0.00996716735827909,0.0099671673582791,0.17296228745471617,0.1729622874547162,0.017070545187004703,0.017070545187004713
42,4,0,-1,6170,CVE,3.3366,2.7004,0.04413239719157473,0.04413239719157473,0.0,0.0,0.1558676028084253,0.1558676028084253
43,4,0,-1,6170,CCVE,121.9162,4.9828,0.04413239719157473,0.04413239719157473,0.0,0.0,0.1558676028084253,0.1558676028084253
44,4,0,-1,6170,CCALPeps,579.0357999999999,575.6296,0.04414187748399153,0.04414187748399156,7.511918873238546e-05,7.511918873238551e-05,0.15578300332727607,0.1557830033272761
45,4,0,-1,7404,CVE,2.8688000000000002,2.3518,0.1910944652517686,0.1910944652517686,0.005798307670966846,0.005798307670966846,0.0031072270772645304,0.0031072270772645304
46,4,0,-1,7404,CCVE,125.869,5.017999999999999,0.1910944652517686,0.1910944652517686,0.005798307670966845,0.005798307670966845,0.00310722707726453,0.00310722707726453
47,4,0,-1,7404,CCALPeps,608.6890000000001,604.4422000000001,0.19107413098274134,0.19107413098274134,0.005806421038770802,0.005806421038770814,0.0031194479784878533,0.0031194479784878563
48,4,0,-1,8638,CVE,2.9332,2.4134,0.0,0.0,0.01390182730204228,0.01390182730204228,0.18609817269795773,0.18609817269795773
49,4,0,-1,8638,CCVE,119.96619999999999,4.8162,0.0,0.0,0.013901827302042282,0.013901827302042282,0.18609817269795773,0.18609817269795773
50,4,0,-1,8638,CCALPeps,605.447,601.8938,1.72043202762766e-05,1.720432027627661e-05,0.013932791154581004,0.013932791154581011,0.1860500045251427,0.18605000452514273
51,4,0,-1,9872,CVE,3.169,2.5268,0.19929875505854006,0.19929875505854006,0.0007012449414599487,0.0007012449414599487,0.0,0.0
52,4,0,-1,9872,CCVE,114.97640000000001,4.4992,0.19929875505854006,0.19929875505854006,0.000701244941459949,0.000701244941459949,0.0,0.0
53,4,0,-1,9872,CCALPeps,643.4179999999999,639.791,0.19926716502085298,0.19926716502085298,0.0007084926951009777,0.0007084926951009818,2.4342284046050358e-05,2.4342284046050375e-05
54,4,0,-1,11106,CVE,2.8823999999999996,2.3438,0.12995463788518694,0.12995463788518694,0.065884561238855,0.065884561238855,0.00416080087595808,0.00416080087595808
55,4,0,-1,11106,CCVE,127.8434,5.483200000000001,0.1299546378851869,0.1299546378851869,0.065884561238855,0.065884561238855,0.00416080087595808,0.00416080087595808
56,4,0,-1,11106,CCALPeps,647.1114,643.5386,0.12994579799280181,0.12994579799280187,0.06588574452512894,0.06588574452512899,0.004168457482069205,0.00416845748206921
57,4,0,-1,12340,CVE,3.061,2.3658,0.04260792668220918,0.04260792668220918,0.010274137792427047,0.010274137792427047,0.14711793552536379,0.14711793552536379
58,4,0,-1,12340,CCVE,115.08900000000001,4.350599999999999,0.04260792668220919,0.04260792668220919,0.010274137792427045,0.010274137792427045,0.1471179355253638,0.1471179355253638
59,4,0,-1,12340,CCALPeps,435.384,432.0424,0.0426275511134349,0.04262755111343493,0.01028851063364265,0.010288510633642653,0.1470839382529224,0.14708393825292246
60,5,0,-1,1234,CVE,3.9311999999999996,3.2176,0.03156594795900812,0.03156594795900812,0.16481958740491912,0.16481958740491912,0.003614464636072788,0.003614464636072788
61,5,0,-1,1234,CCVE,153.6276,9.184000000000001,0.03156594795900812,0.03156594795900812,0.16481958740491912,0.16481958740491912,0.0036144646360727886,0.0036144646360727886
62,5,0,-1,1234,CCALPeps,1144.7338,1140.5828,0.031585951080154,0.03158595108015403,0.1647771872532961,0.16477718725329613,0.0036368616665498677,0.00363686166654987
63,5,0,-1,2468,CVE,4.2724,3.6013999999999995,0.08846230400070769,0.08846230400070769,0.05035274343720283,0.05035274343720283,0.06118495256208949,0.06118495256208949
64,5,0,-1,2468,CCVE,140.2084,7.9402,0.0884623040007077,0.0884623040007077,0.05035274343720282,0.05035274343720282,0.06118495256208948,0.06118495256208948
65,5,0,-1,2468,CCALPeps,803.0302,799.4498,0.08835573591768545,0.0883557359176855,0.050487235439761455,0.0504872354397615,0.061157028642553034,0.06115702864255308
66,5,0,-1,3702,CVE,4.2156,3.5218000000000003,0.0633252136393176,0.0633252136393176,0.019705657407857687,0.019705657407857687,0.11696912895282471,0.11696912895282471
67,5,0,-1,3702,CCVE,135.6668,8.035,0.06332521363931762,0.06332521363931762,0.019705657407857687,0.019705657407857687,0.1169691289528247,0.1169691289528247
68,5,0,-1,3702,CCALPeps,1075.408,1071.6826,0.06331693223663622,0.06331693223663626,0.019729215575662776,0.01972921557566279,0.11695385218770096,0.11695385218770102
69,5,0,-1,4936,CVE,3.8634,3.2078,0.032471971444022925,0.032471971444022925,0.15860554809631028,0.15860554809631028,0.008922480459666803,0.008922480459666803
70,5,0,-1,4936,CCVE,148.404,9.3316,0.032471971444022925,0.032471971444022925,0.15860554809631028,0.15860554809631028,0.008922480459666803,0.008922480459666803
71,5,0,-1,4936,CCALPeps,803.1356,799.2262000000001,0.032512668609558,0.03251266860955803,0.15854937782431533,0.15854937782431539,0.008937953566126621,0.00893795356612663
72,5,0,-1,6170,CVE,4.039999999999999,3.35,0.032,0.032,0.0,0.0,0.16799999999999998,0.16799999999999998
73,5,0,-1,6170,CCVE,134.369,8.6874,0.032,0.032,0.0,0.0,0.16799999999999998,0.16799999999999998
74,5,0,-1,6170,CCALPeps,903.6980000000001,900.0067999999999,0.032014027858744645,0.03201402785874467,5.44804149229274e-05,5.4480414922927465e-05,0.1679314917263324,0.16793149172633243
75,5,0,-1,7404,CVE,4.3522,3.689,0.11566443949517446,0.11566443949517446,0.05090324177183866,0.05090324177183866,0.03343231873298688,0.03343231873298688
76,5,0,-1,7404,CCVE,135.1916,8.5608,0.11566443949517446,0.11566443949517446,0.05090324177183865,0.05090324177183865,0.03343231873298689,0.03343231873298689
77,5,0,-1,7404,CCALPeps,985.3034,981.2497999999999,0.11562864792178569,0.11562864792178577,0.05087617214468363,0.05087617214468367,0.033495179933530586,0.03349517993353064
78,5,0,-1,8638,CVE,4.079600000000001,3.4294,0.0,0.0,0.013901827302042282,0.013901827302042282,0.18609817269795775,0.18609817269795775
