,pns_low,pns_up,num_points,idx,time
0,0.059322951288128555,0.059322951288128555,1,24,1964
1,0.04894229646691946,0.059322951288128555,2,2,3760
2,0.04894229646691946,0.059322951288128555,3,7,5390
3,0.03446298005132849,0.059322951288128555,4,9,7031
4,0.03446298005132849,0.06855758128541942,5,12,8404
5,0.03446298005132849,0.08142583558336493,6,25,10679
6,0.03446298005132849,0.08176201243740658,7,28,12275
7,0.03446298005132849,0.09559872478475621,8,20,13543
8,0.03446298005132849,0.09701342126010103,9,15,15370
9,0.03446298005132849,0.09701342126010103,10,27,17431
10,0.03446298005132849,0.09701342126010103,11,5,19214
11,0.03446298005132849,0.09701342126010103,12,0,20982
12,0.03446298005132849,0.09701342126010103,13,21,22535
13,0.03446298005132849,0.09701342126010103,14,18,24565
14,0.03446298005132849,0.09701342126010103,15,4,26372
15,0.03446298005132849,0.09701342126010103,16,23,28173
16,0.03446298005132849,0.09701342126010103,17,3,29290
17,0.03446298005132849,0.09701342126010103,18,14,31083
18,0.03446298005132849,0.09701342126010103,19,17,32932
19,0.03446298005132849,0.09701342126010103,20,1,34824
