,N,dovar,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
0,30,0,1234,6,CVE,9893.3144,9892.340400000001,0.057444194998673426,0.057444194998673426,0.14255580500132659,0.14255580500132659
1,30,0,1234,6,CCVE,,,,,,
2,30,0,1234,6,CCALPeps,6570.732000000001,6520.443000000001,0.05744514385955951,0.05744663736193119,0.1425533626380688,0.14255485614044047
3,30,0,2468,6,CVE,10294.1568,10293.1818,0.10264631319999999,0.10264631319999999,0.0973536868,0.0973536868
4,30,0,2468,6,CCVE,,,,,,
5,30,0,2468,6,CCALPeps,6728.024200000002,6686.3892000000005,0.10262975773419492,0.10264971612326827,0.09735028387673172,0.09737024226580508
6,30,0,3702,6,CVE,9535.686599999999,9534.8352,0.051116698517649606,0.051116698517649606,0.14888330148235038,0.14888330148235038
7,30,0,3702,6,CCVE,,,,,,
8,30,0,3702,6,CCALPeps,,,,,,
9,30,0,4936,6,CVE,9842.2282,9841.3546,0.18835423146646305,0.18835423146646305,0.011645768533536953,0.011645768533536953
10,30,0,4936,6,CCVE,,,,,,
11,30,0,4936,6,CCALPeps,7032.127399999999,6991.923599999999,0.18829528367468898,0.18831043975764603,0.011689560242353968,0.011704716325311027
12,30,0,6170,6,CVE,10390.5582,10389.6846,0.1793600097831502,0.1793600097831502,0.02063999021684981,0.02063999021684981
13,30,0,6170,6,CCVE,,,,,,
14,30,0,6170,6,CCALPeps,6483.6813999999995,6435.6672,0.17934268379946783,0.17934268379946788,0.02065731620053211,0.020657316200532166
15,30,0,7404,6,CVE,10704.752599999998,10703.9008,0.19247451,0.19247451,0.007525490000000001,0.007525490000000001
16,30,0,7404,6,CCVE,,,,,,
17,30,0,7404,6,CCALPeps,6604.647,6563.7668,0.19245622366550807,0.19246015328864535,0.00753984671135466,0.007543776334491917
18,30,0,8638,6,CVE,9671.36,9670.3832,0.055879177199999984,0.055879177199999984,0.14412082280000002,0.14412082280000002
19,30,0,8638,6,CCVE,inf,inf,,,,
20,30,0,8638,6,CCALPeps,6608.316000000001,6563.2232,0.05589455582745993,0.05590341436158971,0.1440965856384103,0.14410544417254006
21,30,0,9872,6,CVE,10203.2146,10202.295800000002,0.0261,0.0261,0.1739,0.1739
22,30,0,9872,6,CCVE,,,,,,
23,30,0,9872,6,CCALPeps,5471.8574,5423.0779999999995,0.02611855738833673,0.026118557388336777,0.17388144261166322,0.17388144261166327
24,30,0,11106,6,CVE,10805.1162,10804.1934,0.0277550702811311,0.0277550702811311,0.1722449297188689,0.1722449297188689
25,30,0,11106,6,CCVE,,,,,,
26,30,0,11106,6,CCALPeps,5626.283600000001,5582.2378,0.02778277498782879,0.027782774989459885,0.1722172250105401,0.1722172250121712
27,30,0,12340,6,CVE,10814.339800000002,10813.3264,0.19,0.19,0.010000000000000002,0.010000000000000002
28,30,0,12340,6,CCVE,,,,,,
29,30,0,12340,6,CCALPeps,6184.4702,6140.183800000001,0.18998200179982,0.18998200179982003,0.010017998200179972,0.010017998200179989
30,31,0,1234,6,CVE,3743.493,3742.5892,0.151207775313989,0.151207775313989,0.04879222468601101,0.04879222468601101
31,31,0,1234,6,CCVE,,,,,,
32,31,0,1234,6,CCALPeps,6962.205400000001,6911.4457999999995,0.1511860307797964,0.15118636732587087,0.04881363267412912,0.048813969220203604
33,31,0,2468,6,CVE,3740.6224,3739.6766,0.039106591999999996,0.039106591999999996,0.16089340800000002,0.16089340800000002
34,31,0,2468,6,CCVE,,,,,,
35,31,0,2468,6,CCALPeps,6943.1538,6891.69,0.03913278415260412,0.03913284710968308,0.16086715289031692,0.16086721584739588
36,31,0,3702,6,CVE,3938.786,3937.8558,0.09367673934281051,0.09367673934281051,0.10632326065718947,0.10632326065718947
37,31,0,3702,6,CCVE,,,,,,
38,31,0,3702,6,CCALPeps,,,,,,
39,31,0,4936,6,CVE,3933.7778,3932.9021999999995,0.159720362,0.159720362,0.04027963799999999,0.04027963799999999
40,31,0,4936,6,CCVE,,,,,,
