PNS,effect,cause,model
0.07996470966536709,0,9,triangolo_biashard_13.uai
0.07311095562396344,0,9,triangolo_biashard_170.uai
0.08066308437475561,0,9,triangolo_biashard_164.uai
0.07517941829601506,0,9,triangolo_biashard_158.uai
0.08934051854197697,0,9,triangolo_biashard_7.uai
0.03192083632104737,0,9,triangolo_biashard_6.uai
0.09267329540523045,0,9,triangolo_biashard_159.uai
0.038001022580066296,0,9,triangolo_biashard_165.uai
0.021651917960114543,0,9,triangolo_biashard_171.uai
0.03490617908844726,0,9,triangolo_biashard_12.uai
0.06470589752284903,0,9,triangolo_biashard_10.uai
0.04148421199609427,0,9,triangolo_biashard_38.uai
0.02313883649751188,0,9,triangolo_biashard_198.uai
0.02738798620443421,0,9,triangolo_biashard_167.uai
0.02549471238641974,0,9,triangolo_biashard_173.uai
0.04945768669637564,0,9,triangolo_biashard_5.uai
0.03118422115747703,0,9,triangolo_biashard_172.uai
0.05191683226196395,0,9,triangolo_biashard_166.uai
0.04412375105707062,0,9,triangolo_biashard_39.uai
0.07557923168351223,0,9,triangolo_biashard_11.uai
0.087763871312143,0,9,triangolo_biashard_29.uai
0.08428967510364732,0,9,triangolo_biashard_15.uai
0.07339454849543116,0,9,triangolo_biashard_200.uai
0.06261279413035917,0,9,triangolo_biashard_189.uai
0.08077888429683625,0,9,triangolo_biashard_162.uai
0.05367278470812374,0,9,triangolo_biashard_176.uai
0.0657666413037788,0,9,triangolo_biashard_1.uai
0.06407671499203618,0,9,triangolo_biashard_0.uai
0.08930493517343546,0,9,triangolo_biashard_163.uai
0.0811805839679021,0,9,triangolo_biashard_188.uai
0.09178430066763968,0,9,triangolo_biashard_14.uai
0.06223213942159844,0,9,triangolo_biashard_28.uai
0.06928441928167053,0,9,triangolo_biashard_16.uai
0.06284927049730572,0,9,triangolo_biashard_149.uai
0.04287497192349062,0,9,triangolo_biashard_175.uai
0.0970680544485704,0,9,triangolo_biashard_161.uai
0.04732699552923032,0,9,triangolo_biashard_2.uai
0.021095590398320232,0,9,triangolo_biashard_3.uai
0.06651098118770304,0,9,triangolo_biashard_160.uai
0.0819412023250778,0,9,triangolo_biashard_174.uai
0.05077674577104907,0,9,triangolo_biashard_17.uai
0.06777279638980346,0,9,triangolo_biashard_113.uai
0.06830627194492563,0,9,triangolo_biashard_107.uai
0.06997461414843892,0,9,triangolo_biashard_106.uai
0.03468305932098212,0,9,triangolo_biashard_112.uai
0.02037693419534014,0,9,triangolo_biashard_104.uai
0.06990070555074199,0,9,triangolo_biashard_110.uai
0.04663395984259712,0,9,triangolo_biashard_138.uai
0.07162196502248447,0,9,triangolo_biashard_139.uai
0.09983318888045967,0,9,triangolo_biashard_111.uai
0.03999655410705266,0,9,triangolo_biashard_129.uai
0.08894679616233196,0,9,triangolo_biashard_101.uai
0.09414200736019147,0,9,triangolo_biashard_115.uai
0.07452929736603953,0,9,triangolo_biashard_114.uai
0.019905898642595968,0,9,triangolo_biashard_100.uai
0.04174535055056448,0,9,triangolo_biashard_128.uai
0.03620400638647478,0,9,triangolo_biashard_49.uai
0.07292178361962842,0,9,triangolo_biashard_102.uai
0.03878203051132732,0,9,triangolo_biashard_103.uai
0.036011724543866405,0,9,triangolo_biashard_117.uai
0.10756699075128628,0,9,triangolo_biashard_48.uai
0.0639902780337743,0,9,triangolo_biashard_45.uai
0.027525984150298777,0,9,triangolo_biashard_132.uai
0.09700281479321693,0,9,triangolo_biashard_126.uai
0.08436843731738995,0,9,triangolo_biashard_127.uai
0.04934939628866103,0,9,triangolo_biashard_133.uai
0.013307596989241385,0,9,triangolo_biashard_44.uai
0.07292871890704282,0,9,triangolo_biashard_125.uai
0.017418320808992367,0,9,triangolo_biashard_131.uai
0.02588466216735121,0,9,triangolo_biashard_119.uai
0.04923217553517639,0,9,triangolo_biashard_118.uai
0.05834761548744903,0,9,triangolo_biashard_130.uai
0.05310446326697331,0,9,triangolo_biashard_124.uai
0.06314618626543787,0,9,triangolo_biashard_47.uai
0.03636490560104476,0,9,triangolo_biashard_43.uai
0.08557387831953021,0,9,triangolo_biashard_108.uai
0.07366065150880186,0,9,triangolo_biashard_120.uai
0.02543266060922225,0,9,triangolo_biashard_134.uai
0.087560277592157,0,9,triangolo_biashard_135.uai
0.046321151565739564,0,9,triangolo_biashard_121.uai
0.08901325724803784,0,9,triangolo_biashard_109.uai
0.07914571955470405,0,9,triangolo_biashard_42.uai
0.05312897474254652,0,9,triangolo_biashard_40.uai
0.058262662314060215,0,9,triangolo_biashard_137.uai
0.0868090039484432,0,9,triangolo_biashard_123.uai
0.09125214773022747,0,9,triangolo_biashard_122.uai
0.046141241068127684,0,9,triangolo_biashard_136.uai
0.040896726972673325,0,9,triangolo_biashard_41.uai
0.06834933173824906,0,9,triangolo_biashard_26.uai
0.03591309458043242,0,9,triangolo_biashard_32.uai
0.08071098576965124,0,9,triangolo_biashard_192.uai
0.09499777165270307,0,9,triangolo_biashard_186.uai
0.08619459882597669,0,9,triangolo_biashard_151.uai
0.022009235352662176,0,9,triangolo_biashard_145.uai
0.055327440853181926,0,9,triangolo_biashard_179.uai
0.05534918615627239,0,9,triangolo_biashard_178.uai
0.0494496220496494,0,9,triangolo_biashard_150.uai
0.08986495341430811,0,9,triangolo_biashard_193.uai
0.08527017639910353,0,9,triangolo_biashard_33.uai
0.08921466778015964,0,9,triangolo_biashard_27.uai
0.031120910277721327,0,9,triangolo_biashard_31.uai
0.05194973275594687,0,9,triangolo_biashard_25.uai
0.022633413451357255,0,9,triangolo_biashard_19.uai
0.021215533168702408,0,9,triangolo_biashard_185.uai
0.09934073258862605,0,9,triangolo_biashard_191.uai
0.07628063781811924,0,9,triangolo_biashard_146.uai
0.05734653889896907,0,9,triangolo_biashard_152.uai
0.06314951642699519,0,9,triangolo_biashard_153.uai
0.029892479379381054,0,9,triangolo_biashard_147.uai
0.12443227623687311,0,9,triangolo_biashard_190.uai
0.09386902737071023,0,9,triangolo_biashard_184.uai
0.08426541426844869,0,9,triangolo_biashard_24.uai
0.03758553740153969,0,9,triangolo_biashard_30.uai
0.07751400250164432,0,9,triangolo_biashard_34.uai
0.0353574001039242,0,9,triangolo_biashard_20.uai
0.03669659947408427,0,9,triangolo_biashard_180.uai
0.07382556080312777,0,9,triangolo_biashard_157.uai
0.06485626014434244,0,9,triangolo_biashard_8.uai
0.031289361705465604,0,9,triangolo_biashard_9.uai
0.052892127941185585,0,9,triangolo_biashard_156.uai
0.09237556646210383,0,9,triangolo_biashard_142.uai
0.022168814185876764,0,9,triangolo_biashard_195.uai
0.08791405414477405,0,9,triangolo_biashard_181.uai
0.05632267196765957,0,9,triangolo_biashard_21.uai
0.10127043020058223,0,9,triangolo_biashard_35.uai
0.06555741239472734,0,9,triangolo_biashard_23.uai
0.018257446853503667,0,9,triangolo_biashard_37.uai
0.04393632713970819,0,9,triangolo_biashard_168.uai
0.09710670492966514,0,9,triangolo_biashard_154.uai
0.07363083090450603,0,9,triangolo_biashard_155.uai
0.04583775119965755,0,9,triangolo_biashard_169.uai
0.07310407219641313,0,9,triangolo_biashard_182.uai
0.08846071059194785,0,9,triangolo_biashard_36.uai
0.09115322032333725,0,9,triangolo_biashard_22.uai
