PNS,effect,cause,model
0.352882135490401,0,7,triangolo_biashard_9.uai
0.4069581877759825,0,7,triangolo_biashard_156.uai
0.3458325291722998,0,7,triangolo_biashard_142.uai
0.2889175584043848,0,7,triangolo_biashard_195.uai
0.28583898853539674,0,7,triangolo_biashard_181.uai
0.3769771495738752,0,7,triangolo_biashard_21.uai
0.34109564476244336,0,7,triangolo_biashard_35.uai
0.3334758744765969,0,7,triangolo_biashard_23.uai
0.33549652271739117,0,7,triangolo_biashard_37.uai
0.3147626642375104,0,7,triangolo_biashard_168.uai
0.3110958591254904,0,7,triangolo_biashard_154.uai
0.34034842995038495,0,7,triangolo_biashard_155.uai
0.32614729118488917,0,7,triangolo_biashard_169.uai
0.3958003052794046,0,7,triangolo_biashard_182.uai
0.3442287468002442,0,7,triangolo_biashard_36.uai
0.3600401032339412,0,7,triangolo_biashard_22.uai
