file,pns_l_Dobs+Dx+Dxb ,pns_l_Dobs+Dxb,pns_l_Dx,pns_l_Dx+Dxb,pns_l_Dxb,pns_u_Dobs+Dx+Dxb ,pns_u_Dobs+Dxb,pns_u_Dx,pns_u_Dx+Dxb,pns_u_Dxb
../output/hybrid/synthetic/s12/random_mc2_n5_mid3_d1000_05_mr098_r10_0_uai_kl_th00_mIter500_wtrue_x300_lpfalse_tps025_0.csv,,,0.0065151659006021,,,,,0.0308922383210752,,
../output/hybrid/synthetic/s12/random_mc2_n5_mid3_d1000_05_mr098_r10_0_uai_kl_th00_mIter500_wtrue_x300_lpfalse_tps075_0.csv,0.0081529943302874,0.0095972908083514,0.0065151659006021,0.0082590345579387,0.0087173021082412,0.0305770498406647,0.0298758016510784,0.0308922383210752,0.0325553161971572,0.2292234203351474
../output/hybrid/synthetic/s12/random_mc2_n5_mid3_d1000_05_mr098_r10_17_uai_kl_th00_mIter500_wtrue_x300_lpfalse_tps025_0.csv,0.0008350345470608543,0.0009378362167009316,0.0008358199993599978,0.0007689601073802801,0.00020641478605937875,0.0222152296972561,0.0229053836083229,0.0215076890116148,0.0215281840995369,0.5177126830884239
../output/hybrid/synthetic/s12/random_mc2_n5_mid3_d1000_05_mr098_r10_17_uai_kl_th00_mIter500_wtrue_x300_lpfalse_tps075_0.csv,0.0010138632471943,0.0011306603967705,0.0008358199993599978,0.0011411464922461,0.0014152634618538,0.0235326664517983,0.0238962299442478,0.0215076890116148,0.0242237894031698,0.0320479077469134
../output/hybrid/synthetic/s12/random_mc2_n5_mid3_d1000_05_mr098_r10_18_uai_kl_th00_mIter500_wtrue_x300_lpfalse_tps025_0.csv,0.3505029617556379,0.348297437230615,0.3891135086167462,0.3523100731528654,0.0005131696477403318,0.5013542917542532,0.4890245643787573,0.5379278151475975,0.5113491835717402,0.4657002090053913
../output/hybrid/synthetic/s12/random_mc2_n5_mid3_d1000_05_mr098_r10_18_uai_kl_th00_mIter500_wtrue_x300_lpfalse_tps075_0.csv,0.3387942249590071,0.3258631115333528,0.3891135086167462,0.3283808155833088,0.00041306918121219495,0.4957265498852621,0.4847498004827486,0.5379278151475975,0.4978753720848674,0.4757489266435623
../output/hybrid/synthetic/s12/random_mc2_n5_mid3_d1000_05_mr098_r10_4_uai_kl_th00_mIter500_wtrue_x300_lpfalse_tps025_0.csv,0.0066457217633406,0.0063708346938503,0.0040214700468821,0.0036691707566086,0.0031245574586757,0.0406103843841614,0.0401731691274034,0.0377813358631934,0.0378068365545406,0.0376701315153773
../output/hybrid/synthetic/s12/random_mc2_n5_mid3_d1000_05_mr098_r10_4_uai_kl_th00_mIter500_wtrue_x300_lpfalse_tps075_0.csv,0.0072468826686604,0.0080518266874735,0.0040214700468821,0.0038570714905938,0.00012302810902025549,0.0412998905012074,0.0423557831931699,0.0377813358631934,0.0378084153943241,0.158544250846303
../output/hybrid/synthetic/s12/random_mc2_n5_mid3_d1000_05_mr098_r10_71_uai_kl_th00_mIter500_wtrue_x300_lpfalse_tps025_0.csv,0.000977494473761672,0.0008245729310255561,2.8971373576661855e-05,0.0007943512338995844,5.565691641586327e-06,0.0811384084062435,0.0809535764694846,0.0847271166153543,0.0833387204602012,0.5121681253073428
../output/hybrid/synthetic/s12/random_mc2_n5_mid3_d1000_05_mr098_r10_71_uai_kl_th00_mIter500_wtrue_x300_lpfalse_tps075_0.csv,0.0009099110954359331,0.0011386682885467,2.8971373576661855e-05,0.0007428901831532968,0.0002516930309241338,0.0816597438580353,0.0796610793246384,0.0847271166153543,0.0855396707039614,0.0805124836523522
../output/hybrid/synthetic/s12/random_mc2_n5_mid3_d1000_05_mr098_r10_74_uai_kl_th00_mIter500_wtrue_x300_lpfalse_tps025_0.csv,0.3159272340266482,0.267665187312789,0.3335002487069225,0.3376538285452293,0.0061247552732693,0.4623636979877059,0.4683632185941632,0.4795815944643784,0.485435538668199,0.8030894180235033
../output/hybrid/synthetic/s12/random_mc2_n5_mid3_d1000_05_mr098_r10_74_uai_kl_th00_mIter500_wtrue_x300_lpfalse_tps075_0.csv,0.3146153284175155,0.2762686658662732,0.3335002487069225,0.3200743363281207,0.2867078425491262,0.4601922135812603,0.4762516632152647,0.4795815944643784,0.4693949059765473,0.4430384783417297
../output/hybrid/synthetic/s12/random_mc2_n5_mid3_d1000_05_mr098_r10_79_uai_kl_th00_mIter500_wtrue_x300_lpfalse_tps025_0.csv,,,,,0.0010361762912756,,,,,0.3056919110242649
../output/hybrid/synthetic/s12/random_mc2_n5_mid3_d1000_05_mr098_r10_93_uai_kl_th00_mIter500_wtrue_x300_lpfalse_tps025_0.csv,0.0948094111289391,0.103234161639485,0.0865415723664762,0.0930365118905001,0.1053881108579523,0.1427525250711073,0.144347207954276,0.1310849847406536,0.1401962544303576,0.1486856034818801
../output/hybrid/synthetic/s12/random_mc2_n5_mid3_d1000_05_mr098_r10_93_uai_kl_th00_mIter500_wtrue_x300_lpfalse_tps075_0.csv,0.0903124647418363,0.1013069881506099,0.0865415723664762,0.0816854116270454,1.5926833756896685e-07,0.141158953345635,0.1476005541481257,0.1310849847406536,0.134250411673209,0.1509946720005022
../output/hybrid/synthetic/s12/random_mc2_n5_mid3_d1000_05_mr098_r10_95_uai_kl_th00_mIter500_wtrue_x300_lpfalse_tps025_0.csv,,,,,1.3491545372126578e-07,,,,,0.0250893074209033
