,pns_low,pns_up,num_points,idx,time
0,0.07888905248653019,0.07888905248653019,1,15,3222
1,0.06519395818589571,0.07888905248653019,2,27,5838
2,0.06519395818589571,0.0797358252857853,3,16,8885
3,0.06519395818589571,0.08037611482520823,4,13,11003
4,0.06519395818589571,0.08073355356739809,5,14,13324
5,0.06519395818589571,0.09517252683491284,6,8,15830
6,0.06519395818589571,0.09517252683491284,7,24,18704
7,0.06519395818589571,0.09517252683491284,8,5,20838
8,0.06519395818589571,0.09517252683491284,9,25,23842
9,0.0643199809324693,0.09517252683491284,10,11,26654
10,0.0643199809324693,0.09517252683491284,11,22,29571
11,0.0643199809324693,0.09517252683491284,12,9,32461
12,0.0643199809324693,0.09517252683491284,13,4,35412
13,0.0643199809324693,0.09517252683491284,14,17,38442
14,0.0643199809324693,0.09517252683491284,15,26,41723
15,0.0643199809324693,0.09517252683491284,16,19,44509
16,0.0643199809324693,0.09517252683491284,17,2,46799
17,0.0643199809324693,0.09517252683491284,18,23,49884
18,0.0643199809324693,0.09517252683491284,19,10,56843
19,0.0643199809324693,0.09517252683491284,20,20,57614
