,pns_low,pns_up,num_points,idx,time
0,0.03573768116435822,0.03573768116435822,1,22,2295
1,0.03573768116435822,0.05222636809870806,2,7,4335
2,0.03573768116435822,0.09731562296462881,3,26,5757
3,0.03573768116435822,0.09731562296462881,4,5,7676
4,0.03446298005132849,0.09731562296462881,5,9,9637
5,0.03446298005132849,0.09731562296462881,6,4,11300
6,0.03446298005132849,0.09731562296462881,7,12,13033
7,0.033628886302679524,0.09731562296462881,8,13,15446
8,0.033628886302679524,0.09731562296462881,9,0,16546
9,0.033628886302679524,0.09731562296462881,10,10,18904
10,0.033628886302679524,0.09731562296462881,11,1,21021
11,0.033628886302679524,0.09731562296462881,12,18,22899
12,0.033628886302679524,0.09731562296462881,13,16,25524
13,0.033628886302679524,0.09731562296462881,14,15,27022
14,0.033628886302679524,0.09731562296462881,15,24,29252
15,0.033628886302679524,0.09731562296462881,16,20,31131
16,0.033628886302679524,0.09731562296462881,17,28,32418
17,0.033628886302679524,0.09731562296462881,18,2,34023
18,0.033628886302679524,0.09731562296462881,19,25,37383
19,0.033628886302679524,0.09731562296462881,20,27,39642
